FeatureID	Kingdom	Phylum	Class	Order	Family	Genus
acb384d83a7de92d88dca2685e7d6273	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		
accf74ff2ce34ee36152bc24ee5301c9	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
ad87b66d7ab792e72205677202e82a7b	Bacteria	Firmicutes	Clostridia	Clostridiales		
ada0b597c3bee5051b680ea35967d799	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
adb1fb75cfdab2fa20f465a0ac4a0b38	Bacteria					
addc5ed0c3d92883c6cfcfc6d01a1876	Bacteria					
ae0ae98c0a83e6a3ed3c31700a99ace6	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
ae189db86b0cfb52a493df7c859dd0f0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ae1ac2cfc3b72753bcb817bc7ff473e5	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ae5f7fe7d47a4e9980dfa4f1a38ae3b1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dietziaceae	Dietzia
aed3a1dca0c42c3ef1d13788f69487d1	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	
aeeeb449dd02c8665cab0b345cb6eb4a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		
af027cf90b66c3e164b5af02f2c4d920	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
af08b0c9a03569a94a6b697a1d1de1d9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	
af0b8e1e893d72b7aeb331b3ae38a348	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia
af2257fa4412151f75e1cf381f2dd1f4	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
af68919f1e96ba805d48db268c210ae9	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
afad8006c1d50d75fe7b9aa448f7d607	Bacteria	Firmicutes	Clostridia	Clostridiales		
afb7bab65125258f4a14827263f03c4f	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Barnesiellaceae]	
afe3476b15192af49966f4fcb13572f2	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus
b077687e3c7c7940e5fd1e2595a9ae7d	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
b12e7be8a5e13bc5dd230aab4e1d8ac2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
b168d5c831a01445624ebc70547e6370	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
b1792dee3f3980ad080e00f28ef86e14	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Salinivibrio
b186bb95d70df4bd4510fdec2bfad047	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
b1892695d0b34f6d39c5898d40489360	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	
b1e21bfdef1f8787bfb6d4d341facb91	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	
b1ecebefd594c9b0855fe7adcfd08ca6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	YRC22
b211e55272fece7b2aaaa4d65fc93548	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio
b250059a2fe58c50bda925d515c3a7dc	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae	Xylanimicrobium
b259e75f9ef3d6a2b677af7b06d7edfd	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
b25fb6e748060121d7320f3a20528cc5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	
b27478e2272c317e1818803015756928	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes
b27e5c7625cdf6bce0efcab16f64168f	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
b2d18ae0657e5adffd4e7949506c3313	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	
b2fe97f34ed86287890607f6b38a724b	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	C111	
b3108a652e2efc87026f48144263cbb4	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira
b321f0790bed942116d3701d1f17f98a	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
b34970a884f09afa41566a6a1fc12499	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	
b39d1b83c8d53619f16d68b941b8c0fe	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
